label,group,description,value,unit,rationale,reference,link
Ass_B_D_install_heating_emplo_pct_of_B_heatpump,ud,"Anteil Beschäftigte in der Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation für GHD (Wärmepumpe)",0.07,%,"Für weniger Sektorkopplung in Python werden hier die Werte des Szenarios Deutschland 2035 hinterlegt, basierend auf den benötigten Stellen im Installationsgewerbe (Heizung, Wasser etc.) für den Austausch der Heizungsanlage, aufgeteilt auf Haushalte (Solarthermie+Wärmepumpe), GHD (Solarthermie+Wärmepumpe) und Landwirtschaft (Wärmepumpe).",Berechnung,
Ass_B_D_install_heating_emplo_pct_of_A_heatpump,ud,"Anteil Beschäftigte in der Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation für Landwirtschaft (Wärmepumpe)",0.014,%,"Für weniger Sektorkopplung in Python werden hier die Werte des Szenarios Deutschland 2035 hinterlegt, basierend auf den benötigten Stellen im Installationsgewerbe (Heizung, Wasser etc.) für den Austausch der Heizungsanlage, aufgeteilt auf Haushalte (Solarthermie+Wärmepumpe), GHD (Solarthermie+Wärmepumpe) und Landwirtschaft (Wärmepumpe).",Berechnung,
Ass_B_D_energy_consulting_emplo_pct_of_R,ud,Anteil Beschäftigte Energieberatung für Haushalte,0.813,%,"Für weniger Sektorkopplung in Python werden hier die Werte des Szenarios Deutschland 2035 hinterlegt, basierend auf den benötigten Stellen in der Beratung für die energetische Gebäudesanierung, aufgeteilt auf Haushalte und GHD.",Berechnung,
Ass_B_D_energy_consulting_emplo_pct_of_B,ud,Anteil Beschäftigte Energieberatung für GHD,0.187,%,"Für weniger Sektorkopplung in Python werden hier die Werte des Szenarios Deutschland 2035 hinterlegt, basierend auf den benötigten Stellen in der Beratung für die energetische Gebäudesanierung, aufgeteilt auf Haushalte und GHD.",Berechnung,
Ass_I_G_advice_invest_pa,ui,Jährliche Beratungskosten KEI Dekarbonisierung der Industrie,700000000.0,€,"Das Kompetenzzentrum Klimaschutz in energieintensiven Industrien (KEI): ""Insgesamt stellt das BMU in den Jahren 2021 bis 2025 ca. 3,5 Mrd. Euro Fördermittel für Investitions-kostenförderung und Klimaschutzverträge für die Dekarbonisierung der energieintensiven Industrie zur Verfügung.""","KEI 2021 Leistungen des Kompetenzzentrums Klimaschutz in  
energieintensiven Industrien (KEI) S.2",https://www.klimaschutz-industrie.de/fileadmin/user_upload/KEI_download_pdf/Publikationen/21-06_KEI_Factsheet_DE.pdf
Ass_I_G_advice_invest_pct_of_wage,ud,Anteil Personalkosten Jährliche Beratungskosten KEI Dekarbonisierung der Industrie,0.1,%,"Es wurde kein Wert wie ""anteilige Beratungskosten an Investitionen"" gefunden. Da ein Großteil der Kosten als direkte Subventionen zum industriellen Umbau angenommen wird, werden lediglich 10% für Beratungsleistungen angenommen.","KEI 2021 Leistungen des Kompetenzzentrums Klimaschutz in  
energieintensiven Industrien (KEI) S.2",https://www.klimaschutz-industrie.de/fileadmin/user_upload/KEI_download_pdf/Publikationen/21-06_KEI_Factsheet_DE.pdf
Ass_I_G_advice_invest_pa_per_capita,ud,Jährliche Beratungskosten KEI Dekarbonisierung der Industrie pro Kopf,8.431783134345059,€,"Es wurde kein Wert wie ""anteilige Beratungskosten an Investitionen"" gefunden. Daher wird die Beratung und Subventionen der Industrie durch das KEI als Kosten der öffentlichen Hand auf alle Einwohner:innen Deutschlands verteilt. Der Kommune kommt damit nur ein fairer Anteil zu.","KEI 2021 Leistungen des Kompetenzzentrums Klimaschutz in  
energieintensiven Industrien (KEI) S.2",https://www.klimaschutz-industrie.de/fileadmin/user_upload/KEI_download_pdf/Publikationen/21-06_KEI_Factsheet_DE.pdf
Ass_I_P_miner_cement_prodvol_2050,ui,Angenommene Produktionsmenge Zementindustrie 2050,16300000.0,t/a,"""Im GreenSupreme-Szenario wird die Entwicklung der Produktionsmengen wie in den übrigen Green-Szenarien, außer GreenEe1 und GreenLate, modellendogen ermittelt, die Produktionsmengen liegen bei 16,3 [21,2/18,6] Mio. t in 2050 [2030/2040].""",RESCUE Studie GreenSupreme S.55,
Ass_I_P_miner_cement_prodvol_change,ud,cement industry prodvol 2050 change,-0.5205882352941176,%,Berechnung Ass_I_P_miner_cement_prodvol_2050/Fakt_I_N_mineral_Zement_Produktionsmenge_2017-1,,
Ass_I_P_miner_cement_CO2e_pb_2050,ui,cement industry pb CO2e 2050,5063511.0,t/a,"""Nach Abbildung 5-90 ergeben sich für die Szenarien GreenEe2, GreenMe, GreenLife und GreenSupreme im Jahr 2050 in etwa gleich große rohmaterialbedingte CO2-Emissionen (5 bis 5,6 Mio. t CO2),"", genau abgelesen in Greensupreme-Tabelle 44 auf S. 103","RESCUE Studie S. 262, GreenSupreme S.103",
Ass_I_P_miner_cement_ratio_CO2e_pb_to_prodvol_2050,ud,cement industry ratio pb CO2e to prodvol 2050,0.31064484662576686,t CO2e / t,Berechnung =Ass_I_P_miner_cement_CO2e_pb_2050/Ass_I_P_miner_cement_prodvol_2050,,
Ass_I_P_miner_cement_CO2e_cb_2050,ui,cement industry cb CO2e 2050,1737060.2271300165,,"""Energiebedingte THG-Emissionen in der Zementindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert.""
Gemäß der Einflussbilanz entstehen aber auch bei der Verbrennung von (netto klimaneutralem) E-Methan vor Ort cb Emissionen, die dem Industrieprozess zugeschrieben werden, daher addieren wir =Ass_I_P_miner_cement_fec_gas_2050*Fact_T_S_methan_EmFa_tank_wheel_2018",RESCUE Studie GreenSupreme S.56,
Ass_I_P_miner_cement_ratio_CO2e_cb_to_prodvol_2050,ud,cement industry ratio cb CO2e to prodvol 2050,0.10656811209386605,t CO2e / t,Berechnung =Ass_I_P_miner_cement_CO2e_cb_2050/Ass_I_P_miner_cement_prodvol_2050,,
Ass_I_P_miner_cement_fec_2050,ui,Angenommener EEV Zementindustrie 2050,11800000.0,MWh,"""Energiebedingte THG-Emissionen in der Zementindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert. Die Umstellungen führen zu einem Endenergieverbrauch in Höhe von 11,8 [16,1/14,4] TWh im Jahr 2050 [2030/2040], der Anteil Strom liegt bei 3,0 [2,0/2,3] TWh in denselben Jahren.""",RESCUE Studie GreenSupreme S.56,
Ass_I_P_miner_cement_fec_elec_2050,ui,cement industry fec electricity 2050,3000000.0,MWh,"""Energiebedingte THG-Emissionen in der Zementindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert. Die Umstellungen führen zu einem Endenergieverbrauch in Höhe von 11,8 [16,1/14,4] TWh im Jahr 2050 [2030/2040], der Anteil Strom liegt bei 3,0 [2,0/2,3] TWh in denselben Jahren.""",RESCUE Studie GreenSupreme S.56,
Ass_I_P_miner_cement_fec_gas_2050,ui,cement industry fec gas 2050,8800000.0,MWh/a,"""Zudem kann für die neuartigen Bindemittel bis 2050 eine höhere Reduktion des spezifischen Energiebedarfs gegenüber dem Ausgangswert für konventionelle Bindemittel erreicht werden als für die konventionellen Bindemittel selbst, und der thermische Energiebedarf für die Herstellung neuartiger Bindemittel wird zu 50 % durch Strom gedeckt (sonst Gas). Des Weiteren erfolgt ein Technologieumbau bei der Herstellung konventioneller Bindemittel durch die Umstellung der Drehrohrofenfeuerung von Koks bzw. Kohle (sowie EBS) auf Gas.""",RESCUE Studie GreenSupreme S.55,
Ass_I_P_miner_cement_ratio_fec_elec_to_prodvol_2050,ud,cement industry ratio fec electricity to production volume 2050,0.18404907975460122,MWh / t,Berechnung =Ass_I_P_miner_cement_fec_elec_2050/Ass_I_P_miner_cement_prodvol_2050,,
Ass_I_P_miner_cement_ratio_fec_gas_to_prodvol_2050,ud,cement industry ratio fec gas to poduction volume 2050,0.5398773006134969,MWh / t,Berechnung =Ass_I_P_miner_cement_fec_gas_2050/Ass_I_P_miner_cement_prodvol_2050,,
Ass_I_P_miner_cement_kirchdorf_invest_2020,ui,Investitionskosten zur CO2-Reduzierung in €,52000000.0,€,"Der Emissionsfaktor in der Zementindustrie wird etwa um ein Viertel gesenkt, daher wird der Investitionsprozess des Zementwerks Kirchdorf als Beispiel herangezogen:
""Erneut wird in Kirchdorf der Titel ""emissionsärmste Zementwerk der Welt"" verteidigt. Mit der Inbetriebnahme des neuen ""Flash-Dryers"", einer Investition von knapp zwei Millionen Euro, werden maßgebliche Mengen an CO2 eingespart.""
""Bei der feierlichen Inbetriebnahme wurde auch die nächste 10 Millionen-Großinvestiton vorgestellt. Das Team um Werksleiter Christian Breitenbaumer plant die aus heutiger Sicht letzte verfahrenstechnisch noch mögliche Verbesserung, um Emissionen der Zementproduktion am Standort Kirchdorf auf ein absolutes Minimum zu reduzieren.""
""Von 2010 bis 2019 wurden mehr als 40 Millionen Euro in das Unternehmen investiert.""",meinbezirk.at 2020,https://www.meinbezirk.at/kirchdorf/c-wirtschaft/weitere-investitionen-im-zeichen-der-nachhaltigkeit_a4254015
Ass_I_P_miner_cement_kirchdorf_prodvol_2020,ui,Produktionsvolumen Power-to-heat Papierfabrik Varel 2019,500000.0,t/a,"""Das Kirchdorfer Zementwerk ist seit mehr als 130 Jahren Spezialist für Bindemittel und Zement. 120 Mitarbeiter erarbeiten am Standort Kirchdorf eine Produktionsleistung von 500.000 Tonnen pro Jahr.""",meinbezirk.at 2020,https://www.meinbezirk.at/kirchdorf/c-wirtschaft/weitere-investitionen-im-zeichen-der-nachhaltigkeit_a4254015
Ass_I_P_miner_cement_kirchdorf_ratio_invest_to_prodvol_2020,ud,Invest/Produktionsvolumen Power-to-heat Papierfabrik Varel 2019,104.0,€/(t/a),Berechnung =Ass_I_P_miner_cement_kirchdorf_invest_2020/Ass_I_P_miner_cement_kirchdorf_prodvol_2020,meinbezirk.at 2020,https://www.meinbezirk.at/kirchdorf/c-wirtschaft/weitere-investitionen-im-zeichen-der-nachhaltigkeit_a4254015
Ass_I_P_miner_chalk_prodvol_2050,ui,Angenommene Produktionsmenge Kalkindustrie 2050,3350000.0,t/a,"abgelesen aus Abbildung 5-91: ""Der größte Produktionsrückgang gegenüber dem Jahr 2010 ist, wie in Abbildung 5-91 zu sehen ist, für das Szenario GreenSupreme zu verzeichnen (2030: -31 %, 2040: -39 %, 2050:-47 %)."" 
ACHTUNG, fälschlicherweise heißt es im Greensupreme auf S, 56:
""Im GreenSupreme-Szenario ändern sich die absoluten Angaben und Werte entsprechend der rohstoffmodellendogenen ermittelten Produktionsmengen, die in 2050 [2030/2040] bei 16,3 [21,2 / 18,3] Mio. Tonnen liegt.""",UBA 2019 RESCUE Studie S. 266,
Ass_I_P_miner_chalk_prodvol_change,ud,chalk industry prodvol 2050 change,-0.47965206585896236,%,Berechnung =Ass_I_P_miner_chalk_prodvol_2050/Fact_I_P_miner_chalk_prodvol_2017-1,,
Ass_I_P_miner_chalk_CO2e_pb_2050,ui,chalk industry pb CO2e 2050,2678918.0,t/a,Abgelesen aus Tabelle 44,RESCUE Studie GreenSupreme S.103,
Ass_I_P_miner_chalk_ratio_CO2e_pb_to_prodvol_2050,ud,chalk industry ratio pb CO2e to prodvol 2050,0.7996770149253731,t CO2e / (t/a),Berechnung =Ass_I_P_miner_chalk_CO2e_pb_2050/Ass_I_P_miner_chalk_prodvol_2050,,
Ass_I_P_miner_chalk_CO2e_cb_2050,ui,chalk industry cb CO2e 2050,651397.5851737562,t/a,"""Energiebedingte THG-Emissionen in der Kalkindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert.""
Gemäß der Einflussbilanz entstehen aber auch bei der Verbrennung von (netto klimaneutralem) E-Methan vor Ort cb Emissionen, die dem Industrieprozess zugeschrieben werden, daher addieren wir =Ass_I_P_miner_chalk_fec_gas_2050*Fact_T_S_methan_EmFa_tank_wheel_2018",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_ratio_CO2e_cb_to_prodvol_2050,ud,chalk industry ratio cb CO2e to prodvol 2050,0.194447040350375,t CO2e / (t/a),Berechnung =Ass_I_P_miner_chalk_CO2e_cb_2050/Ass_I_P_miner_chalk_prodvol_2050,Berechnung,
Ass_I_P_miner_chalk_fec_2050,ui,Angenommener EEV Kalkindustrie 2050,3600000.0,MWh/a,"""Energiebedingte THG-Emissionen in der Kalkindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert. Die Verhaltensänderung und die daraus resultierenden Entwicklungen der Produktionsmengen führen zu einem Endenergieverbrauch von 3,6 [4,8/4,1] TWh in 2050 [2030/2040], der Stromanteil beträgt 0,3 [0,4/0,3] TWh.""",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_fec_elec_2050,ui,chalk industry fec electricity 2050,300000.0,MWh/a,"""Energiebedingte THG-Emissionen in der Kalkindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert. Die Verhaltensänderung und die daraus resultierenden Entwicklungen der Produktionsmengen führen zu einem Endenergieverbrauch von 3,6 [4,8/4,1] TWh in 2050 [2030/2040], der Stromanteil beträgt 0,3 [0,4/0,3] TWh.""",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_fec_gas_2050,ui,chalk industry fec gas 2050,3300000.0,MWh/a,"""Brennstoffumstellung von Kohle auf Gasfeuerung: 50 % bis 2030, 100 % bis 2040"", daher =Ass_I_P_miner_chalk_fec_2050-Ass_I_P_miner_chalk_fec_elec_2050",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_ratio_fec_elec_to_prodvol_2050,ud,chalk industry ratio fec electricity to production volume 2050,0.08955223880597014,MWh/t,Berechnung =Ass_I_P_miner_chalk_fec_elec_2050/Ass_I_P_miner_chalk_prodvol_2050,RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_ratio_fec_gas_to_prodvol_2050,ud,chalk industry ratio fec gas to poduction volume 2050,0.9850746268656716,MWh/t,Berechnung =Ass_I_P_miner_chalk_fec_gas_2050/Ass_I_P_miner_chalk_prodvol_2050,RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_chalk_vockerode_ratio_invest_to_prodvol_2018,ud,Invest/Produktionsvolumen Drehkolbenverdichter Kalkwerk Vockerode 2019,100.0,€/(t/a),"Der cb Emissionsfaktor in der Kalkindustrie wird v.a. durch die Umstellung auf erneuerbare Energien gesenkt. Daher wurde versucht, eine Beispielinvestition in ein Kalkwerk zu finden, das höhere Energieeffizienz und Umstellung auf Strom zur Folge hat. Leider gibt es keine Zahlen zu Investitionssumme und Produktionsvolumen, daher wird der beliebige Wert 100€/(t/a) (ähnlich wie in Zementindustrie) angenommen!
""War in der Vergangenheit für Köhler Kalk vor allem der Verbrauch an Koks die bestimmende Größe bei den Betriebskosten, sind es heute Braunkohlestaub und elektrische Energie. „Strom war für uns bis dato nie ein Thema“, blickt Köhler zurück. „Der alte Ofen funktioniert quasi mechanisch.“ Wenn die neue Anlage eingefahren ist, wird der Brennstoff nicht mehr zusammen mit dem Dolomitgestein schichtweise in den Ofen eingebracht und unter Feuer gesetzt, sondern mit verteilten Brennerlanzen direkt in die Kalzinierungszonen eingeblasen. """,chemanager 2018,https://www.chemanager-online.com/themen/produktion/kalkwerk-investiert-fuer-einen-neuen-brennofen-technik-mit-maximaler-energieeffizi
Ass_I_P_miner_ceramic_prodvol_2050,ui,Angenommene Produktionsmenge Keramikindustrie 2050,7668900.0,t/a,"""Es wird davon ausgegangen, dass das Produktionsniveau bis 2050 konstant auf dem Ausgangsniveau (Durchschnitt der Produktion der Jahre 2014 bis 2018) bleibt.""
Die RESCUE-Studie behandelt aus unerfindlichen Gründen nicht die Keramik-Industrie (CRF 2.A.4.a). Daher wird auf die Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland zurückgegriffen, da Ziegel laut NIR 80% der Keramikproduktion ausmacht (""Die anteilig ho chste Produktionsmenge wird in den Sektoren Ziegel (ca. 80 % der Gesamtkeramikproduktion) erreicht, gefolgt von Feuerfesterzeugnissen (ca. 10 %) und Fliesen (ca. 6 %).""
",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 15,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_prodvol_change,ud,ceramic industry prodvol 2050 change,0.0,%,Berechnung =Ass_I_P_miner_ceramic_prodvol_2050/Fact_I_P_miner_ceramic_prodvol_2017-1,,
Ass_I_P_miner_ceramic_CO2e_pb_2050,ui,ceramic industry pb CO2e 2050,0.0,t CO2e/a,Im Klimaneutralitätspfad (Pfad 3) sinken die gesamten Emissionen auf 0.,Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 6,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_ratio_CO2e_pb_to_prodvol_2050,ud,ceramic industry ratio pb CO2e to prodvol 2050,0.0,t CO2e/t Produkt,Berechnung =Ass_I_P_miner_ceramic_CO2e_pb_2050/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_ceramic_CO2e_cb_2050,ui,ceramic industry cb CO2e 2050,3676.4000000000005,t CO2e/a,"Im Klimaneutralitätspfad (Pfad 3) sinken die gesamten Emissionen auf 0.
Gemäß der Einflussbilanz entstehen aber auch bei der Verbrennung von Biomasse vor Ort cb Emissionen (aus CH4 und N2O), die dem Industrieprozess zugeschrieben werden, daher addieren wir =Ass_I_P_miner_ceramic_fec_biomass_2050*Fact_RB_S_biomass_CO2e_EF",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 6,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_ratio_CO2e_cb_to_prodvol_2050,ud,ceramic industry ratio cb CO2e to prodvol 2050,0.0004793907861622919,t CO2e/t Produkt,Berechnung =Ass_I_P_miner_ceramic_CO2e_cb_2050/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_ceramic_fec_elec_2050,ui,ceramic industry fec electricity 2050,1500000.0,MWh,"Aus der Grafik wird der Gesamtenergiebedarf von 2,6 TWh 2050 grob abgelesen zu 1,5 TWh Strom, 0,2 TWh Biomasse und 0,9 TWh Wasserstoff.",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 39,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_fec_hydrogen_2050,ui,ceramic industry fec hydrogen 2050,900000.0,MWh,"Aus der Grafik wird der Gesamtenergiebedarf von 2,6 TWh 2050 grob abgelesen zu 1,5 TWh Strom, 0,2 TWh Biomasse und 0,9 TWh Wasserstoff.",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 39,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_fec_biomass_2050,ui,ceramic industry fec biomass 2050,200000.0,MWh,"Aus der Grafik wird der Gesamtenergiebedarf von 2,6 TWh 2050 grob abgelesen zu 1,5 TWh Strom, 0,2 TWh Biomasse und 0,9 TWh Wasserstoff.",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 39,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_ratio_fec_elec_to_prodvol_2050,ud,ceramic industry ratio fec electricity to production volume 2050,0.19559519618198176,MWh/t Produkt,Berechnung =Ass_I_P_miner_ceramic_fec_elec_2050/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_ceramic_ratio_fec_hydrogen_to_prodvol_2050,ud,ceramic industry ratio fec hydrogen to poduction volume 2050,0.11735711770918907,MWh/t Produkt,Berechnung =Ass_I_P_miner_ceramic_fec_hydrogen_2050/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_ceramic_ratio_fec_biomass_to_prodvol_2050,ud,ceramic industry ratio fec biomass to poduction volume 2050,0.026079359490930903,MWh/t Produkt,Berechnung =Ass_I_P_miner_ceramic_fec_biomass_2050/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_ceramic_invest_total,ui,Investitionskosten Keramik/Ziegelindustrie zur CO2-Reduzierung in €,2345000000.0,€,"Investitionsausgaben inkl. (klimaschutz-)spezifische Maßnahmen betragen im Klimaneutralitätspfad (Pfad 3) 2.345 Mio. €.
Die relevantesten Maßnahmen sind:
n  Entkopplung des Ofen-Trockner-Verbunds
n  Einsatz von Hochtemperaturwärmepumpen
n  wasserstoffbefeuerte Öfen
n  elektrische Öfen
n  Einsatz biogener Porosierungsmittel",Bundesverband der deutschen Ziegelindustrie 2021 Roadmap für eine treibhausgasneutrale Ziegelindustrie in Deutschland S. 5/6,https://www.ziegel.de/sites/default/files/2021-03/Ziegel_24_110321_Web_200dpi_0.pdf?utm_source=baulinks&utm_campaign=baulinks
Ass_I_P_miner_ceramic_ratio_invest_to_prodvol,ui,Invest/Produktionsvolumen Keramik/Ziegelindustrie in €/(t/a),305.78049003116485,€/(t/a),Berechnung =Ass_I_P_other_ceramic_invest_total/Ass_I_P_miner_ceramic_prodvol_2050,,
Ass_I_P_miner_glass_prodvol_2050,ui,Angenommene Produktionsmenge Glasindustrie 2050,6100000.0,,"""Im GreenSupreme-Szenario ändern sich die absoluten Angaben und Werte entsprechend der rohstoffmodellendogenen ermittelten Produktionsmengen, die in 2050 [2030/2040] bei 6,1 [6,8/6,3] Mio. Tonnen liegen.""",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_glass_prodvol_change,ud,glass industry prodvol 2050 change,-0.10082547169811318,,Berechnung =Ass_I_P_miner_glass_prodvol_2050/Fact_I_P_miner_glas_prodvol_2018 -1,,
Ass_I_P_miner_glass_CO2e_pb_2050,ui,glass industry pb CO2e 2050,356888.0,,Abgelesen aus Tabelle 44,RESCUE Studie GreenSupreme S.103,
Ass_I_P_miner_glass_ratio_CO2e_pb_to_prodvol_2050,ud,glass industry ratio pb CO2e to prodvol 2050,0.05850622950819672,,Berechnung =Ass_I_P_miner_glass_CO2e_pb_2050/Ass_I_P_miner_glass_prodvol_2050,,
Ass_I_P_miner_glass_CO2e_cb_2050,ui,glass industry cb CO2e 2050,0.0,,"""Energiebedingte THG-Emissionen in der Glasindustrie werden durch die Umstellung auf erneuerbare Energieträger bis 2050 vollständig reduziert.""",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_glass_ratio_CO2e_cb_to_prodvol_2050,ud,glass industry ratio cb CO2e to prodvol 2050,0.0,,Berechnung =Ass_I_P_miner_glass_CO2e_cb_2050/Ass_I_P_miner_glass_prodvol_2050,RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_glass_fec_elec_2050,ui,glass industry fec electricity 2050,4200000.0,,"""Die Veränderungen bewirken einen Endenergieverbrauch von 4,2 [16,7/9,0] TWh in 2050 [2030/2040], der Anteil Strom liegt bei 4,2 [8,7/4,4] TWh.""",RESCUE Studie GreenSupreme S.57,
Ass_I_P_miner_glass_ratio_fec_elec_to_prodvol_2050,ud,glass industry ratio fec electricity to production volume 2050,0.6885245901639344,,Berechnung =Ass_I_P_miner_glass_fec_elec_2050/Ass_I_P_miner_glass_prodvol_2050,,
Ass_I_P_miner_glass_furnace_invest_2021,ui,Investitionskosten Elektrowanne Heinz-Glas 2021,15000000.0,,"""Heinz-Glas in Kleintettau hat den [...] Bau der neuen, umweltfreundlichen Schmelzwanne nun trotz anhaltender Krise fertiggestellt. Die Wanne soll im Februar 2021 in Betrieb genommen werden. Das Unternehmen nimmt alleine für dieses Projekt rund 15 Millionen Euro in die Hand""
Hierbei handelt es sich um eine klassische Elektrowanne, noch zukunftsträchtiger aber ohne auffindbare Investitionskosten ist F4F https://packaging-journal.de/furnace-for-the-future-gemeinschaftsprojekt/",NP Coburg 2021,https://www.np-coburg.de/inhalt.investition-mit-mut-und-neuer-wanne-durch-die-krise.f731d809-f493-4ac3-868d-853fddbe6d08.html
Ass_I_P_miner_glass_furnace_prodvol_2021,ui,Produktionsvolumen Elektrowanne Heinz-Glas 2021,14600.0,,"""Die neue Wanne ist in ihrer Schmelzleistung hochflexibel, möglich ist zunächst ein tägliches Maximum von 40 Tonnen hochwertigen Kosmetikglases.""",NP Coburg 2021,https://www.np-coburg.de/inhalt.investition-mit-mut-und-neuer-wanne-durch-die-krise.f731d809-f493-4ac3-868d-853fddbe6d08.html
Ass_I_P_miner_glass_furnace_ratio_invest_to_prodvol_2021,ud,Invest/Produktionsvolumen Power-to-heat Papierfabrik Varel 2019,1027.3972602739725,,Berechnung =Ass_I_P_miner_glass_furnace_invest_2021/Ass_I_P_miner_glass_furnace_prodvol_2021,NP Coburg 2021,https://www.np-coburg.de/inhalt.investition-mit-mut-und-neuer-wanne-durch-die-krise.f731d809-f493-4ac3-868d-853fddbe6d08.html
Ass_I_P_chem_all_fec_wo_electricity_2050,ui,Energieverbrauch (ohne Strom) Basis + Sonstige Chemie,30200000.0,MWh,"Da nicht weiter aufgeführt wird, auf welche Energieträger sich dieser Energiebedarf verteilt, nehmen wir an, dass es sich um E-Methan-Verbräuche handelt.",UBA Rescue 2019 - Abbildung 5-36 Seite 256,
Ass_I_P_chem_basic_wo_ammonia_fec_wo_electricity_2050,ui,Energieverbrauch (ohne Strom) Basis Chemie ohne Ammoniak Zieljahr,25316743.119266056,MWh,Verteilung auf Basis und sonstige Chemie analog der aktuellen Verteilung,,
Ass_I_P_chem_other_fec_wo_electricity_2050,ui,Energieverbrauch (ohne Strom) Sonstige Chemie Zieljahr,4883256.8807339445,MWh,Verteilung auf Basis und sonstige Chemie analog der aktuellen Verteilung,,
Ass_I_P_chem_basic_wo_ammonia_ratio_fec_wo_electricity_2050,ui,Anteil Energieverbrauch Basischemie Zieljahr,0.838302752293578,,"Berechnet auf Basis der Fakten zu ""Anteil Energieverbrauch Chem Industrie""",,
Ass_I_P_chem_ammonia_ratio_fec_wo_electricity_2050,ui,Anteil Einergeiverbrauch Ammoniakproduktion Zieljahr,0.0,,Annahme: Ammoniak benötigt nur Strom und Wasserstoff,VCI Roadmap 2050 ab Seite 33,
Ass_I_P_chem_other_ratio_fec_wo_electricity_2050,ui,Anteil Energieverbrauch Sonstige Chemie Zieljahr,0.161697247706422,,"Berechnet auf Basis der Fakten zu ""Anteil Energieverbrauch Chem Industrie""",,
Ass_I_P_chem_all_electricity_consumption_2050,ui,Stromverbrauch Gesamt Chemie Industrie Zieljahr,54500000.0,MWh,GreenSupreme 2050,UBA 2020 - Transformationsprozess zum treibhausgasneutralen und ressourcenschondenen Deutschland - GreenSupreme Seite 55,
Ass_I_P_chem_basic_wo_ammonia_electricity_consumption_2050,ui,Stromverbrauch Grundstoffchemie ohne Ammoniak Zieljahr,41134198.954093054,MWh,Verteilung auf Basis und sonstige Chemie analog der aktuellen Verteilung,,
Ass_I_P_chem_ammonia_electricity_consumption_2050,ui,Stromverbrauch Ammoniak Produktion Zieljahr,5400000.0,MWh,,VCI Roadmap THG Neutralität 2050 Seite 33,
